codigo,titulo,endereco,bairro,modalidade,valor,area,quartos,tipo_imovel,numero_item
878771313531-3,SAO PAULO - FORTE SAO MATEUS,"RUA FORTE DA RIBEIRA,N. 250 Apto. 15 BL5 1 PAV SUBCONDOMINIO 2, , DISTRITO DE ITAQUERA",ITAQUERA,Leilão,"R$ 205.000,00","61,29 m²",2 quartos,Apartamento,545
144441065897-1,SAO PAULO - COND FRANCISCO RODRIGUES SECKLER RESIDENCIAL,"RUA FRANCISCO RODRIGUES SECKLER,N. 660 CS 10, , ITAQUERA",ITAQUERA,Leilão,"R$ 317.661,49",,3 quartos,Casa,557
878770957353-0,SAO PAULO - PROJETO IMOBILIARIO E 25,"RUA FRANKLIN DO AMARAL,N. 424 Apto. 116 TORRE A, , SANTANA",SANTANA,Leilão,"R$ 256.281,17","77,59 m²",2 quartos,Apartamento,558
855550586077-8,SAO PAULO - COND GREVILEAS II,"RUA ISIDORO DE LARA,N. 65 Apto. 31-C, , CJ HB JOSE BONIFACIO",,,"R$ 118.961,00","56,24 m²",2 quartos,Apartamento,478
144441907581-2,SAO PAULO - CJ HAB SAO MIGUEL PAULISTA G,"RUA JOAO BATISTA CALOGERAS,N. 22 Apto. 13B BL 05B, QD 01, LT 01, , ITAM PAULISTA",,Leilão,"R$ 176.602,97","49,81 m²",,Apartamento,532
855550558766-4,SAO PAULO - VILA MATILDE,"RUA JOSE MASCARENHAS,N. 421",,Leilão,"R$ 258.600,00",,2 quartos,Casa,559
878770250923-3,SAO PAULO - AGUA MARINHA,"RUA KENKITI SHIMOMOTO,N. 1150 Apto. 51 BL 03, , CHACARA BUSSOCADA",,Venda Direta,,"61,68 m²",,Apartamento,
844442023145-6,SAO PAULO - RESIDENCIAL FRANCI,"RUA MARIA ANGELICA FRANCI,N. 405 CS 07, , VILA FRANCI",VILA FRANCI,Leilão,"R$ 242.057,63",,2 quartos,Casa,560
878770775954-8,SAO PAULO - CONDOMINIO RESIDENCIAL PRIME,"RUA NEBULOSAS,N. 680 Apto. 703, , ITAQUERA",ITAQUERA,Leilão,"R$ 219.380,45","81,7 m²",2 quartos,Apartamento,561
855553847955-0,SAO PAULO - COLIBRIS,"RUA NOVENTA E CINCO,N. 275 Apto. 14 BL 01, , DIST DE GUAIANAZES",GUAIANAZES,,"R$ 97.185,51",,2 quartos,,479
144440874940-0,SAO PAULO - ED MANACA - COND VIDA VIVA FREGUESIA DO Ó,"RUA PARAPUA,N. 51 Apto. 81 DUPLEX, TORRE C, , 4 SUBD N S DO O",,Leilão,"R$ 990.000,00",,,,541
878771841941-7,SAO PAULO - COND RES PLANO & JACU PESSEGO - SABBADO D ANGELO,"RUA SABBADO DANGELO,N. 281 Apto. 1712 TORRE B, , ITAQUERA",ITAQUERA,Leilão,"R$ 239.857,81","41,54 m²",2 quartos,Apartamento,562
878771167737-2,SAO PAULO - VIVAZ ESTAÇÃO GUAIANAZES,"RUA SALVADOR GIANETTI,N. 201 Apto. 105 TORRE 06, , GUAIANASES",GUAIANASES,Leilão,"R$ 174.619,35","63,95 m²",2 quartos,Apartamento,563
844440661088-7,SAO PAULO - CONJUNTO HABITACIONAL SANTA ELVINA III-A,"RUA SEVERINO SOUTO MAIOR,N. 108 Apto. 43-A, , DISTRITO DE GUAIANAZ",,Leilão,"R$ 143.000,00","39,5 m²",2 quartos,Apartamento,551
