codigo,titulo,endereco,bairro,modalidade,valor,area,quartos,tipo_imovel,numero_item
855550805930-8,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 46, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550812343-0,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 90, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550832803-1,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 204 BL 37, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550860755-0,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 16, LT 48-A, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550873313-0,MANAUS - VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 41, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550894282-1,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 202 BL 40, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855550920967-2,MANAUS - CONDOMINIO RESIDENCIAL VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 103 BLOCO 46, , LAGO AZUL",LAGO AZUL,,,"165,29 m²",,Apartamento,
855550977068-4,MANAUS - COM RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 102 BL 17, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551010225-8,MANAUS - COND RES  VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRAÇA,N. 1302 Apto. 201 BL 90, , LAGO AZUL",LAGO AZUL,Leilão,"R$ 126.000,00","165,29 m²",2 quartos,Apartamento,5
855551028385-6,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 104 BL 85, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
855551038263-3,MANAUS - COND RES VERONA PREMIUM,"AVENIDA PROFESSOR PAULO GRACA,N. 1302 Apto. 101 BL 102, , LAGO AZUL",LAGO AZUL,Venda Direta,,,2 quartos,,
